a	手	扌手
拡	ags	扌广厶
掋	ags	扌广氏
撠	ags	扌戈十
捬	agv	扌广亻
掶	agv	扌广人
摵	agx	扌戈小
搓	agy	扌工羊
擮	agz	扌戈隹
抨	ahb	扌一丷
抔	ahb	扌一卜
抷	ahb	扌一卜
抟	ahd	扌一丶
搸	ahd	扌禾大
撗	ahd	扌黄丶
拜	ahg	手一干
拝	ahg	扌一干
揪	ahh	扌禾火
拻	ahh	扌火一
掞	ahh	扌火火
揫	ahh	手禾火
扽	ahk	扌一凵
掳	ahl	扌虍力
掮	ahl	扌户月
擄	ahl	扌虍力
攦	ahl	扌一鹿
攎	ahm	扌虍皿
扙	ahn	扌一乀
护	ahp	扌户丿
搋	ahp	扌虍丿
撫	ahp	扌灬丿
摀	ahp	扌灬丿
摢	ahp	扌虍丿
捩	ahq	扌户犬
撚	ahq	扌灬犬
挭	ahr	扌一日
據	ahs	扌虍豕
抎	ahs	扌一厶
摣	aht	扌虍冂
抦	aht	扌一冂
掚	aht	扌一冂
揙	aht	扌户冂
擟	aht	扌一冂
打	ahv	扌一乙
扌	ahv	扌一乙
扥	ahv	扌一乙
抴	ahv	扌一乙
抏	ahw	扌一兀
拣	ahx	扌一小
摅	ahx	扌虍心
攄	ahx	扌虍心
攩	ahx	扌黑小
抚	ahy	扌一尢
挜	ahy	扌一业
掗	ahy	扌一业
搧	ahy	扌户羽
撨	ahz	扌灬隹
擽	aib	扌木白
抹	aih	扌木一
揲	aih	扌木一
抺	aih	扌木一
挆	aij	扌木几
探	aim	扌木冖
揉	aim	扌木矛
操	aio	扌木口
揀	aio	扌木口
捒	aio	扌木口
挅	aip	扌木丿
揸	air	扌木日
拺	ait	扌木冂
捰	ait	扌木田
攀	aix	手木乂
搮	aix	扌木西
搩	aix	扌木夕
搡	aiy	扌木又
撕	ajb	扌斤八
捲	ajb	扌卩丷
擧	ajb	手臼八
攬	ajc	扌見臣
搅	ajd	扌见丶
拆	ajd	扌斤丶
摏	ajd	扌臼大
摫	ajd	扌見大
撹	ajd	扌見丶
掜	aje	扌臼儿
揑	ajg	扌臼工
抪	ajh	扌巾一
捦	ajh	扌金一
摕	ajh	扌巾一
揽	ajk	扌见竹
折	ajl	扌斤丨
捔	ajl	扌角丨
揥	ajl	扌巾立
攑	ajl	扌臼丨
抑	ajp	扌卩丿
掀	ajq	扌斤欠
揿	ajq	扌钅欠
撳	ajq	扌金欠
挸	ajv	扌見乙
掃	ajx	扌巾彐
攪	ajx	扌見乂
攐	akb	扌衣宀
擌	akd	扌竹大
擶	akd	扌竹刂
攥	akf	扌竹糸
擳	akj	扌竹卩
拙	akk	扌凵凵
挔	akn	扌衣乀
撘	ako	扌竹口
攮	aks	扌衣十
搇	akv	扌衣人
搠	alb	扌月丷
揹	alb	扌月匕
拢	ald	扌龙丶
拉	alh	扌立一
撈	alh	扌力火
攏	alh	扌龍一
抈	alh	扌月一
捚	alh	扌里一
攈	alh	扌鹿禾
撞	all	扌立里
拹	all	扌力力
掤	all	扌月月
搚	all	扌力力
攗	alm	扌鹿米
捸	aln	扌隶乀
捐	alo	扌月口
拁	alo	扌力口
抛	alp	扌力丿
拋	alp	扌力丿
扐	alp	扌力丿
抻	alr	扌丨日
搘	alr	扌耂日
摬	alr	扌立日
摌	als	扌立生
摘	alt	扌立冂
捞	alu	扌力艹
拷	alv	扌耂乙
摝	alv	扌鹿乙
攟	alw	扌鹿囗
挘	alx	扌力小
掯	alz	扌月止
揟	alz	扌月疋
搤	amb	扌皿丷
挥	amc	扌冖车
揮	amc	扌冖車
拇	amd	扌母丶
抌	ame	扌冖儿
攠	amf	扌麻非
捫	amh	扌門一
攔	ami	扌門木
撊	aml	扌門月
撬	amm	扌毛毛
搁	amo	扌门口
擱	amo	扌門口
挴	amp	扌母丿
揗	amp	扌目丿
揾	amr	扌皿日
擝	amr	扌皿日
搕	ams	扌皿厶
摩	amv	手麻乙
扪	amv	扌门乙
搵	amw	扌皿囗
撋	amw	扌門王
撛	amx	扌米夕
撯	amy	扌目羊
掹	amz	扌皿子
撄	anb	扌女贝
攖	anb	扌女貝
捼	anh	扌女禾
接	anl	扌女立
搂	anm	扌女米
挐	ano	手女口
摟	ans	扌女十
