a	手	扌手
為	hdp	灬丶丿
灱	hdp	火刀丿
焔	hdr	火刀日
秧	hdt	禾大冂
炴	hdt	火大冂
烉	hdt	火刀冂
煃	hdt	火大土
黤	hdt	黑大田
户	hdv	户丶乙
炔	hdv	火大乙
灲	hdv	火刂乙
炷	hdw	火丶王
黈	hdw	黄丶王
燎	hdx	火大小
爒	hdx	火大小
煗	hed	火而大
稬	hed	禾而大
烑	hee	火儿水
烝	heh	灬水一
烍	hen	火儿牛
炾	heo	火儿口
燙	her	火水日
丞	hev	一水乙
烫	hev	火氵乙
禿	hev	禾儿乙
灮	hev	火儿乙
甚	hfb	一匚八
煈	hfd	火风丶
丝	hff	一纟纟
虐	hfh	虍匚一
扉	hfh	户非一
炐	hfl	火丰丨
熰	hfo	火匚口
房	hfp	户方丿
炬	hfv	火匚乙
秬	hfv	禾匚乙
焣	hfy	灬耳又
稂	hgd	禾艮丶
烺	hgd	火艮丶
虦	hgg	虍戈戈
虥	hgg	虍戈戈
稿	hgh	禾高一
灴	hgh	火工一
烎	hgh	火廾一
焀	hgh	火谷一
熇	hgh	火高一
熫	hgh	火广灬
黚	hgh	黑甘一
爌	hgh	火广黄
穬	hgh	禾广黄
燺	hgi	火高木
穊	hgj	禾艮旡
井	hgl	一廾丨
秆	hgl	禾干丨
灷	hgl	火廾丨
煂	hgl	火革丨
穅	hgl	禾广隶
稾	hgn	禾高乀
稢	hgo	禾戈口
煘	hgo	火戈口
煻	hgo	火广口
稶	hgo	禾戈口
黬	hgo	黑戈口
炥	hgp	火弓丿
烕	hgp	火戈丿
熾	hgr	火戈日
烖	hgs	火戈十
烃	hgv	火工乙
焤	hgv	火广亻
焿	hgv	火广人
穐	hgv	禾龟乙
黭	hgv	黑廾人
穖	hgy	禾戈幺
燫	hgy	火广聿
秤	hhb	禾一丷
黧	hhb	黑禾勹
炋	hhb	火一卜
秠	hhb	禾一卜
熿	hhd	火黄丶
穔	hhd	禾黄丶
三	hhh	一一一
焱	hhh	火火火
烣	hhh	火火一
扊	hhh	户火火
煍	hhh	火禾火
燚	hhh	火火火
燊	hhi	火火木
虤	hhj	虍虍几
燄	hhj	火火臼
炖	hhk	火一凵
黗	hhk	黑一凵
黄	hhl	黄一丨
黃	hhl	黄一丨
穲	hhl	禾一鹿
熒	hhm	火火冖
爐	hhm	火虍皿
黸	hhm	黑虍皿
灭	hhn	火一乀
秋	hhn	禾火乀
炎	hhn	火火乀
炏	hhn	火火乀
秌	hhn	禾禾乀
秝	hhn	禾禾乀
熩	hho	火户口
灰	hhp	火一丿
炉	hhp	火户丿
亓	hhp	一一丿
戸	hhp	户一丿
熓	hhp	火灬丿
燃	hhq	火灬犬
稉	hhr	禾一日
稥	hhr	禾灬日
燳	hhr	火灬日
云	hhs	一一厶
秐	hhs	禾一厶
焈	hhs	火户巳
炳	hht	火一冂
煸	hht	火户冂
烾	hht	火火土
稨	hht	禾户冂
燅	hht	火火土
燣	hht	火禾亠
穪	hht	禾一冂
于	hhv	一一乙
灯	hhv	火一乙
亏	hhv	一一乙
亍	hhv	一一乙
亐	hhv	一一乙
炼	hhx	火一小
熪	hhx	火禾夕
爈	hhx	火虍心
爣	hhx	火黑小
煽	hhy	火户羽
稏	hhy	禾一业
焉	hhz	灬一止
燋	hhz	火灬隹
穛	hhz	禾灬隹
爍	hib	火木白
烞	hib	火木卜
秫	hid	禾木丶
炢	hid	火木丶
煤	hig	火木甘
秣	hih	禾木一
煠	hih	火木一
爃	hih	火木火
焚	hii	火木木
煣	him	火木矛
炑	hin	火木乀
燥	hio	火木口
煉	hio	火木口
秼	hip	禾木丿
虨	his	虍木彡
爩	his	火木彡
稞	hit	禾木田
燓	hix	火木乂
穕	hiz	禾木隹
燍	hjb	火斤八
爦	hjc	火見臣
炁	hjd	灬旡丶
所	hjl	户斤丨
炘	hjl	火斤丨
爨	hjm	火臼冖
黌	hjm	黄臼冖
虒	hjp	虍几丿
焮	hjq	火斤欠
虎	hjv	虍几乙
秃	hjv	禾几乙
黖	hjv	黑旡乙
稀	hjx	禾巾乂
烯	hjx	火巾乂
一	hkk	一〇〇
黜	hkk	黑凵凵
炪	hkk	火凵凵
扆	hkn	户衣乀
屯	hkv	一凵乙
熊	hlb	灬月匕
熋	hlb	火月匕
黱	hlb	黑月丷
下	hld	一丨丶
上	hlh	一丨一
虍	hlh	虍丨一
烠	hlh	火月一
爊	hlh	火鹿灬
穮	hlh	禾鹿灬
爋	hlh	火力灬
爖	hlh	火龍一
丅	hlk	一丨〇
丄	hlk	一丨〇
世	hll	一丨丨
廿	hll	一丨丨
丗	hll	一丨丨
焩	hll	火月月
稝	hll	禾月月
熁	hll	火力力
燑	hll	火立里
穜	hll	禾立里
种	hlo	禾丨口
煳	hlo	火月口
虏	hlp	虍力丿
秭	hlp	禾丨丿
煮	hlr	灬耂日
煑	hlr	火耂日
熵	hlt	火立冂
焨	hlt	火月冂
焴	hlt	火月亠
煟	hlt	火月田
稩	hlt	禾月田
黑	hlv	黑丨乙
烤	hlv	火耂乙
黒	hlv	黑丨乙
熝	hlv	火鹿乙
稰	hlz	禾月疋
煇	hmc	火冖車
爁	hmc	火皿臣
焛	hmd	火門丶
黆	hme	黄冖儿
黕	hme	黑冖儿
爢	hmf	灬麻非
爛	hmi	火門木
焭	hmj	火冖几
爓	hmj	火門臼
囊	hmk	一冖衣
秾	hmk	禾冖衣
嚢	hmk	一冖衣
熃	hml	火矛力
燗	hml	火門月
煛	hmm	火目目
穈	hmn	禾麻乀
營	hmo	火冖口
烸	hmp	火母丿
煝	hmp	火目尸
黣	hmp	黑母丿
熐	hmr	火冖日
熆	hms	火皿厶
燏	hmt	火矛冂
煢	hmv	火冖乙
秏	hmv	禾毛乙
熌	hmv	火門人
熅	hmw	火皿囗
燘	hmw	火門文
焖	hmx	火门心
燜	hmx	火門心
燐	hmx	火米夕
燦	hmy	火米又
燼	hmy	火皿聿
熡	hns	火女十
积	hob	禾口八
炽	hob	火口八
熉	hob	火口貝
虞	hod	虍口大
炤	hod	火口刀
和	hoh	禾口一
焐	hoh	火口一
號	hoh	虍口一
炣	hoh	火口一
焙	hol	火口立
焆	hol	火口月
稖	hol	禾口立
焅	hon	火口牛
稆	hoo	禾口口
焒	hoo	火口口
煰	hoo	火口口
扄	hop	户口丿
焁	hoq	火口欠
扈	hos	户口巳
黠	hos	黑口士
熹	hos	灬口士
秸	hos	禾口士
炱	hos	火口厶
炲	hos	火口厶
秙	hos	禾口十
秮	hos	禾口厶
熺	hos	火口士
燀	hot	火口田
焓	hov	火口人
程	how	禾口王
事	hox	一口彐
焄	hox	灬口彐
亟	hoy	一口又
烙	hoz	火口夂
不	hpb	一丿卜
烀	hpb	火丿丷
秜	hpb	禾尸匕
虖	hpb	虍丿丷
爥	hpc	火尸虫
烬	hpd	火丿丶
秇	hpd	禾丿丶
秗	hpd	禾丿大
黳	hpf	黑殳匚
虗	hpg	虍丿工
燬	hpg	火殳工
禾	hph	禾丿一
炻	hph	火石一
灹	hph	火丿一
秅	hph	禾丿一
燻	hph	火丿黑
丆	hpk	一丿〇
煀	hpk	火尸凵
炸	hpl	火丿丨
丌	hpl	一丿丨
種	hpl	禾丿里
丣	hpl	一丿丨
秨	hpl	禾丿丨
煄	hpl	火丿里
丈	hpn	一丿乀
灸	hpn	火丿乀
炈	hpn	火殳乀
秛	hpn	禾皮乀
穉	hpn	禾尸牛
焗	hpo	火尸口
煅	hpp	火殳丿
戶	hpp	户丿丿
熏	hps	灬丿十
秊	hps	禾丿十
焋	hps	火爿士
穀	hps	禾殳士
炿	hpt	火丿冂
燆	hpt	火丿冂
穚	hpt	禾丿冂
無	hpu	灬丿艹
万	hpv	一丿乙
秀	hpv	禾丿乙
烏	hpv	灬丿乙
炧	hpv	火丿乙
虓	hpv	虍丿乙
称	hpx	禾丿小
烁	hpx	火丿小
稺	hpx	禾尸辛
默	hqd	黑犬丶
戾	hqd	户犬丶
黙	hqd	黑犬丶
穧	hql	禾齊丨
熂	hqm	火气米
炊	hqn	火欠乀
然	hqr	灬犬肉
燞	hqz	灬欠隹
煦	hrb	灬日勹
煬	hrb	火日勹
焜	hrb	火日比
焬	hrb	火日勹
熷	hrb	火日丷
炙	hrd	火肉丶
爆	hre	火日水
燸	hre	火雨而
穤	hre	禾雨而
煚	hrf	火日匚
熶	hrf	火日耳
焊	hrg	火日干
稈	hrg	禾日干
焺	hrg	火日廾
爧	hrg	火日干
亘	hrh	一日一
炟	hrh	火日一
烜	hrh	火日一
熸	hrj	火日旡
煜	hrl	火日立
焽	hrl	火日月
煴	hrm	火日皿
炅	hrn	火日乀
炚	hrn	火日乀
照	hro	灬日口
焸	hrr	火日日
焻	hrr	火日日
焝	hrs	火日氏
煋	hrs	火日生
燝	hrt	火日亠
焟	hru	火日艹
稓	hru	禾日艹
爗	hru	火日艹
更	hrv	一日人
燴	hrv	火日人
燯	hrv	火雨人
熀	hrx	火日小
稽	hry	禾日尢
熳	hry	火日又
穝	hry	禾日又
煶	hrz	火日足
穆	hsb	禾彡白
焯	hsb	火十卜
黷	hsb	黑士貝
穄	hsb	禾示八
燭	hsc	火罒虫
熈	hsc	灬巳臣
私	hsd	禾厶丶
黩	hsd	黑十大
秪	hsd	禾氏丶
煓	hse	火山而
熙	hsf	灬巳匚
煕	hsf	灬巳匚
炭	hsh	火山一
秳	hsh	禾舌一
稙	hsh	禾十一
灿	hsl	火山丨
秈	hsl	禾山丨
烼	hsn	火豕乀
稗	hsp	禾十丿
焷	hsp	火十丿
熴	hsr	火山日
燹	hss	火豕豕
黪	hss	黑彡厶
黲	hss	黑彡厶
穇	hss	禾彡厶
丟	hst	一厶土
烿	hst	火彡冂
焠	hst	火十亠
稡	hst	禾十亠
煵	hst	火十冂
燡	hst	火罒土
烨	hsv	火十亻
戺	hsv	户巳乙
秖	hsv	禾氏乙
穑	hsw	禾十囗
穡	hsw	禾十囗
穯	hsw	禾十囗
秽	hsx	禾山夕
嵇	hsy	禾山尢
爘	hsy	火食又
熣	hsz	火山隹
炞	htb	火亠卜
焹	htb	火冂丷
熼	htb	火田八
穓	htb	禾田八
燔	htc	火田采
熞	htc	火土臣
熘	htd	火田刀
且	hte	一冂二
烄	htf	火亠父
虠	htf	虍亠父
租	hth	禾冂一
灶	hth	火土一
灻	hth	火土一
虘	hth	虍冂一
爅	hth	火土黑
炕	htj	火亠几
秔	htj	禾亠几
煷	htj	火亠几
爂	htj	火冂臼
煨	htk	火田衣
穰	htk	禾亠衣
穣	htk	禾亠衣
爙	htk	火亠衣
虜	htl	虍田力
炠	htl	火田丨
秞	htl	禾田丨
炯	hto	火冂口
稠	hto	禾冂口
烹	hto	灬亠口
扃	hto	户冂口
烔	hto	火冂口
秱	hto	禾冂口
烱	hto	火冂口
稁	hto	禾亠口
煱	hto	火冂口
煏	hto	火田口
稫	hto	禾田口
熱	htp	灬土丿
兩	htr	一冂入
両	hts	一冂山
焵	hts	火冂山
熚	hts	火田十
燷	hts	火亠示
丽	htt	一冂冂
扁	htt	户冂冂
烓	htt	火土土
稑	htt	禾土土
黊	htt	黄土土
黐	htt	禾亠冂
煹	htu	火土艹
两	htv	一冂人
丙	htv	一冂人
烗	htv	火亠人
稟	htw	禾亠囗
黥	htx	黑亠小
稤	htx	禾亠小
稸	htx	禾田玄
稷	htz	禾田夂
焞	htz	火亠子
稕	htz	禾亠子
烵	hub	火艹勹
煼	hub	火艸勹
煐	hud	火艹大
熯	hud	火艹大
烂	hue	火艹二
煁	huf	火艹匚
穁	huf	禾艹耳
黮	huf	黑艹匚
炗	huh	火艹一
爑	huh	火艹灬
荧	hum	火艹冖
爤	hum	火艹門
燕	huo	灬艹口
燁	hus	火艹十
焫	hut	火艹冂
燤	hut	火艹冂
爇	hut	灬艹土
燪	hux	火艹心
穫	huy	禾艹又
爟	huz	火艹隹
炛	hvb	火亻匕
专	hvd	一乙丶
炩	hvd	火人丶
秢	hvd	禾人丶
黍	hve	禾人水
戼	hvf	户乙匚
与	hvh	一乙一
烩	hvh	火人一
虪	hvh	虍亻黑
烋	hvi	灬亻木
烌	hvi	火亻木
稌	hvi	禾人木
炝	hvj	火人卩
七	hvk	一乙〇
丁	hvk	一乙〇
丂	hvk	一乙〇
戹	hvk	户乙〇
秂	hvn	禾人乀
煲	hvo	火亻口
熗	hvo	火人口
烚	hvo	火人口
秴	hvo	禾人口
才	hvp	一乙丿
炀	hvp	火乙丿
炌	hvp	火人丿
秹	hvp	禾人丿
五	hvt	一乙土
炄	hvt	火乙土
稐	hvt	禾人冂
爚	hvt	火人冂
丛	hvv	一人人
黔	hvv	黑乙乙
灺	hvv	火乙乙
黅	hvv	黄人乙
烇	hvw	火人王
焂	hvw	火亻攵
东	hvx	一乙小
黛	hvy	黑亻弋
焏	hvy	灬乙又
烟	hwd	火囗大
煞	hwd	灬攵刀
秵	hwd	禾囗大
燩	hwf	火攵方
稛	hwh	禾囗禾
焑	hwi	火囗木
稇	hwi	禾囗木
炜	hwl	火韦丨
煒	hwl	火韋丨
稦	hwl	禾韋丨
虔	hwn	虍文乀
炇	hwn	火攵乀
炆	hwn	火文乀
稒	hwo	禾囗口
烧	hwp	火兀丿
熬	hwq	灬攵青
焼	hws	火兀十
燒	hwt	火兀土
穘	hwt	禾兀土
元	hwv	一兀乙
燉	hwz	火攵子
焧	hxb	火心八
虑	hxd	虍心丶
稳	hxd	禾心刀
炫	hxd	火玄丶
黋	hxe	黄小儿
熭	hxf	火彐丰
焢	hxg	火穴工
焪	hxg	火穴弓
互	hxh	一彑一
烅	hxh	火血一
燢	hxj	火乂臼
稍	hxl	禾小月
焇	hxl	火小月
黨	hxm	黑小冖
灵	hxn	火彐乀
秉	hxn	禾彐乀
秘	hxp	禾心丿
秒	hxp	禾小丿
炒	hxp	火小丿
虙	hxp	虍心丿
熜	hxp	火心丿
燂	hxr	火西日
穗	hxs	禾心十
穂	hxs	禾心十
熛	hxs	火西示
煙	hxt	火西土
焲	hxt	火夕亠
黫	hxt	黑西土
稔	hxv	禾心人
焾	hxv	火心人
煾	hxw	火心囗
移	hxx	禾夕夕
黟	hxx	黑夕夕
扅	hxx	户夕夕
虩	hxx	虍小小
燱	hxy	火心音
熄	hxz	火心自
穩	hxz	禾心爫
穏	hxz	禾心爫
燰	hxz	火心爫
熠	hyb	火羽白
穎	hyb	禾頁匕
虡	hyb	虍业八
熲	hyb	火頁匕
烦	hyd	火页丶
煩	hyd	火頁丶
炦	hyd	火又丶
秡	hyd	禾又丶
烳	hyd	火用丶
秿	hyd	禾用丶
黓	hyd	黑弋丶
穙	hyd	禾业大
黵	hyd	黑言刀
烒	hyg	火弋工
燨	hyg	火羊戈
爔	hyg	火羊戈
亚	hyh	一业一
虚	hyh	虍业一
黯	hyh	黑音一
亞	hyh	一业一
虛	hyh	虍业一
亜	hyh	一业一
爕	hyh	火言火
黝	hyl	黑幺力
烊	hyl	火羊丨
熤	hyl	火羽立
穌	hyn	禾魚乀
煆	hyp	火又尸
炍	hyp	火又丿
烶	hyp	火廴丿
烻	hyp	火廴丿
熽	hyp	火聿片
穭	hyr	禾魚日
穞	hyr	禾鱼日
熮	hys	火羽彡
穋	hys	禾羽彡
扇	hyt	户羽√
无	hyv	一尢乙
熻	hyv	火羽人
煡	hyy	火廴聿
爜	hyy	火业又
燿	hyz	火羽隹
爝	hzc	火爫寸
穱	hzc	禾爫寸
焦	hzd	灬隹丶
炵	hzd	火夂丶
烐	hzd	火舟丶
虧	hze	虍隹二
烽	hzf	火夂丰
熎	hzf	火爫缶
煺	hzg	火辶艮
穢	hzg	禾止戈
稚	hzh	禾隹一
秄	hzh	禾子一
炡	hzh	火止一
秷	hzh	禾至一
焳	hzh	火隹一
稻	hzj	禾爫臼
處	hzj	虍夂几
熖	hzj	火爫臼
稯	hzk	禾夂凵
爠	hzm	火隹目
秓	hzn	禾支乀
熟	hzp	灬子丿
稪	hzr	禾夂日
稲	hzr	禾爫日
燧	hzs	火辶豕
黢	hzs	黑夂厶
焌	hzs	火夂厶
稄	hzs	禾夂厶
穟	hzs	禾辶豕
稱	hzt	禾爫冂
稜	hzt	禾夂土
燵	hzt	火辶土
丏	hzv	一止乙
熦	hzx	火隹小
煖	hzy	火爫又
熥	hzy	火辶用
虣	hzy	虍止弋
稃	hzz	禾爫子
烰	hzz	火爫子
熢	hzz	火辶夂
梊	iaj	木扌斤
欅	iaj	木手臼
材	iap	木扌丿
杽	iav	木手乙
楷	ibb	木白比
槟	ibb	木宀八
桢	ibb	木贝卜
柁	ibb	木宀匕
楨	ibb	木貝卜
檳	ibb	木宀貝
枃	ibb	木勹冫
柼	ibb	木宀八
桛	ibb	木卜卜
梎	ibb	木白匕
梥	ibb	木宀八
槇	ibb	木八匕
朴	ibd	木卜丶
橙	ibd	木癶豆
杓	ibd	木勹丶
桊	ibd	木丷大
栚	ibd	木丷大
梖	ibd	木貝丶
楑	ibd	木癶大
槣	ibd	木宀大
橮	ibd	木貝刀
櫕	ibd	木貝大
栤	ibe	木冫水
梲	ibe	木八儿
棁	ibe	木丷儿
楾	ibe	木白水
楽	ibe	木白水
欑	ibe	木貝儿
梯	ibg	木丷弓
榕	ibg	木宀谷
栟	ibg	木丷廾
槓	ibg	木貝工
橃	ibg	木癶弓
来	ibh	木丷一
柏	ibh	木白一
枍	ibh	木八一
栢	ibh	木白一
梍	ibh	木白一
梡	ibh	木宀一
櫴	ibi	木貝木
櫍	ibj	木貝斤
柈	ibl	木丷丨
樻	ibl	木貝丨
椈	ibm	木勹米
樌	ibm	木貝母
案	ibn	木宀女
桉	ibn	木宀女
朳	ibn	木八乀
枈	ibn	木比乀
枸	ibo	木勹口
枮	ibo	木卜口
柗	ibo	木八口
楁	ibo	木宀口
棺	ibp	木宀尸
栌	ibp	木卜尸
梹	ibp	木八丿
栨	ibq	木冫欠
栥	ibq	木冫欠
楢	ibq	木丷酉
楶	ibq	木冫欠
樍	ibq	木貝青
桌	ibr	木卜日
楦	ibr	木宀日
栒	ibr	木勹日
松	ibs	木八厶
构	ibs	木勹厶
棕	ibs	木宀示
檫	ibs	木宀示
槔	ibs	木白十
枩	ibs	木八厶
枀	ibs	木八厶
枹	ibs	木勹巳
槙	ibs	木八十
槉	ibs	木疒矢
榢	ibs	木宀豕
槹	ibs	木白十
橨	ibs	木貝十
椇	ibt	木八冂
椣	ibt	木八冂
椫	ibt	木丷田
椬	ibt	木宀冂
棋	ibu	木八艹
栱	ibu	木八艹
棊	ibu	木八艹
柠	ibv	木宀乙
枇	ibv	木比乙
朼	ibv	木匕乙
樎	ibv	木宀亻
楻	ibw	木白王
樐	ibw	木卜囗
檸	ibx	木宀心
椀	ibx	木宀夕
槚	ibx	木貝西
榟	ibx	木宀辛
檟	ibx	木貝西
櫶	ibx	木宀心
樂	iby	木白幺
椪	iby	木丷业
槏	iby	木丷聿
樲	iby	木貝弋
橣	iby	木宀用
椗	ibz	木宀疋
榁	ibz	木宀至
櫁	icb	木虫宀
橱	icc	木厂寸
槈	icc	木寸辰
櫉	icc	木寸厂
村	icd	木寸丶
栦	icd	木川丶
椼	ice	木彳氵
桱	icg	木巛工
桁	ich	木彳一
樔	ici	木巛木
欁	ici	木辰木
椠	icj	木车斤
槧	icj	木車斤
枙	icj	木厂卩
枥	icl	木厂力
杊	icl	木川丨
枨	icn	木厂乀
棖	icn	木長乀
桭	icn	木辰乀
棌	icn	木采乀
梼	icp	木寸丿
樽	icq	木寸酉
橛	icq	木厂欠
橜	icq	木厂欠
檿	icq	木厂犬
樹	ics	木寸士
槫	ics	木寸十
檮	ics	木寸士
欚	ics	木虫豕
檋	icu	木車艹
櫔	icu	木厂艹
栕	icv	木臣乙
檂	icw	木辰囗
欕	icw	木厂攵
桪	icx	木寸彐
桚	icx	木巛夕
榞	icx	木厂小
樳	icx	木寸彐
榑	icy	木寸用
樅	icz	木彳疋
櫪	icz	木厂止
棼	idb	木刀八
枌	idb	木刀八
椕	idb	木刀八
椾	idb	木刂丷
欃	idb	木刀比
楔	idd	木大刀
楱	idd	木大大
杒	idd	木刀丶
栵	idd	木刂歹
梚	ide	木刀儿
栔	idf	木刀丰
檶	idf	木大匚
桋	idg	木大弓
梨	idh	木刂禾
枎	idh	木大一
桍	idh	木大一
梪	idh	木豆一
梸	idh	木刂禾
楋	idi	木刂木
桅	idj	木刀卩
术	idk	木丶〇
朮	idk	木丶〇
棒	idl	木大丨
榉	idl	木丶丨
枓	idl	木斗丨
栄	idm	木丶冖
杕	idn	木大乀
椅	ido	木大口
朷	idp	木刀丿
柣	idp	木大丿
橂	idq	木大酉
柍	idt	木大冂
楏	idt	木大土
梜	idv	木大人
檙	idv	木鼎乙
柱	idw	木丶王
棦	idx	木刀彐
樉	idx	木大乂
橑	idx	木大小
檦	idx	木刂西
椡	idz	木刂至
橷	ieb	木儿白
梁	ied	木氵刀
栐	ied	木水丶
梂	ied	木水丶
桃	iee	木儿水
柡	iee	木二水
渠	ief	木氵匚
柒	ieh	木氵一
栭	iel	木而丨
柷	ieo	木儿口
染	iep	木氵丿
杅	iev	木二乙
杇	iev	木二乙
桼	iev	木水人
桫	iex	木氵小
桬	iex	木氵小
櫃	ifb	木匚貝
橴	ifb	木糸匕
枫	ifd	木风丶
楓	ifd	木风丶
檹	ifd	木方大
梆	iff	木阝丰
椰	iff	木阝耳
榧	iff	木匚非
榌	iff	木飞飞
櫾	iff	木糸缶
欇	iff	木耳耳
榔	ifg	木阝艮
桏	ifg	木阝工
栮	ifh	木耳一
棑	ifh	木非一
樄	ifi	木阝木
檰	ifj	木糹巾
椭	ifl	木阝月
橢	ifl	木阝月
棐	ifn	木非乀
椻	ifn	木匚女
樞	ifo	木匚口
柩	ifp	木匚丿
枋	ifp	木方丿
椸	ifp	木方丿
榡	ifq	木糸青
橼	ifs	木纟豕
櫞	ifs	木糹豕
榜	ift	木方亠
樏	ift	木糸田
欙	ift	木糸田
櫀	ifu	木糸艹
柜	ifv	木匚乙
梛	ifv	木阝乙
棜	ifv	木方人
框	ifw	木匚王
枢	ifx	木匚乂
桞	ifx	木阝夕
檃	ifx	木阝彐
櫽	ifx	木阝心
棸	ify	木耳又
棷	ify	木耳又
槨	ifz	木阝子
櫠	igb	木广癶
櫥	igc	木广寸
栈	igd	木戈丶
槐	igd	木鬼丶
桹	igd	木艮丶
槬	igd	木瓜大
櫆	igd	木鬼斗
檝	igf	木戈耳
械	igg	木戈廾
棧	igg	木戈戈
榒	igg	木弓弓
杠	igh	木工一
槁	igh	木高一
柑	igh	木甘一
杢	igh	木工一
枅	igh	木廾一
桟	igh	木戈一
榾	igh	木骨一
樜	igh	木广灬
櫎	igh	木广黄
概	igj	木艮旡
楖	igj	木艮卩
槩	igj	木艮旡
櫼	igj	木戈韭
杆	igl	木干丨
槅	igl	木鬲丨
槺	igl	木广隶
根	ign	木艮乀
某	ign	木甘乀
柧	ign	木瓜乀
楲	ign	木戈女
槀	ign	木高乀
棫	igo	木戈口
椷	igo	木戈口
榶	igo	木广口
柫	igp	木弓丿
樴	igr	木戈日
栽	igs	木戈十
橶	igs	木戈十
檊	igs	木干十
桩	igt	木广土
杛	igv	木弓乙
椨	igv	木广亻
椩	igv	木广人
櫷	igv	木龟乙
槭	igx	木戈小
槎	igy	木工羊
機	igy	木戈幺
榳	igy	木广廴
槦	igy	木广用
櫦	igz	木广夂
杯	ihb	木一卜
枰	ihb	木一丷
柸	ihb	木一卜
棃	ihb	木禾勹
檆	ihb	木火卜
杰	ihd	木灬丶
横	ihd	木黄丶
榛	ihd	木禾大
橫	ihd	木黄丶
椖	ihf	木户方
栞	ihg	木一干
楸	ihh	木禾火
棪	ihh	木火火
椃	ihj	木虍几
橩	ihj	木火几
本	ihk	木一〇
杶	ihk	木一凵
木	ihl	木一丨
桺	ihl	木一丨
欐	ihl	木一鹿
榮	ihm	木火冖
櫨	ihm	木虍皿
未	ihn	木一乀
末	ihn	木一乀
杖	ihn	木一乀
柇	ihn	木禾乀
槴	iho	木户口
枦	ihp	木户丿
榹	ihp	木虍丿
橅	ihp	木灬丿
棙	ihq	木户犬
橪	ihq	木灬犬
梗	ihr	木一日
枟	ihs	木一厶
柄	iht	木一冂
檁	iht	木禾亠
楄	iht	木户冂
樝	iht	木虍冂
檷	iht	木一冂
朽	ihv	木一乙
朩	ihv	木一乙
朾	ihv	木一乙
杤	ihv	木一乙
枑	ihv	木一乙
枼	ihv	木一乙
枻	ihv	木一乙
杬	ihw	木一兀
榩	ihw	木一兀
栋	ihx	木一小
棂	ihx	木火彐
棅	ihx	木禾彐
櫖	ihx	木虍心
欓	ihx	木黑小
桠	ihy	木一业
極	ihy	木一又
椏	ihy	木一业
樵	ihz	木灬隹
櫟	iib	木木白
梺	iib	木木卜
梾	iib	木木丷
槕	iib	木木卜
榺	iib	木木丷
檪	iib	木木白
樑	iie	木木氵
樷	iif	木木耳
檒	iif	木木风
楳	iig	木木甘
檾	iih	木木火
枺	iih	木木一
楪	iih	木木一
森	iii	木木木
梵	iij	木木几
椞	iij	木木斤
棎	iim	木木冖
楺	iim	木木矛
林	iin	木木乀
楝	iio	木木口
梀	iio	木木口
橾	iio	木木口
株	iip	木木丿
桗	iip	木木丿
橆	iip	木木丿
楂	iir	木木日
棟	iir	木木日
棵	iit	木木田
棘	iit	木木冂
棗	iit	木木冂
栜	iit	木木冂
榃	iit	木木田
棶	iiv	木木人
梦	iix	木木夕
榤	iix	木木夕
橖	iix	木木小
槡	iiy	木木又
楚	iiz	木木疋
椘	iiz	木木辶
檚	iiz	木木疋
棉	ijb	木巾白
棬	ijb	木卩丷
槪	ijb	木旡白
櫈	ijb	木几癶
欖	ijc	木見臣
槲	ijd	木角斗
柝	ijd	木斤丶
樁	ijd	木臼大
杋	ijd	木几丶
椝	ijd	木见大
槼	ijd	木見大
槻	ijd	木見大
棿	ije	木臼儿
檭	ijg	木金艮
桕	ijh	木臼一
杮	ijh	木巾一
柨	ijh	木巾一
榄	ijk	木见竹
析	ijl	木斤丨
桷	ijl	木角丨
櫸	ijl	木臼丨
櫬	ijl	木見立
楴	ijl	木巾立
朵	ijn	木几乀
檞	ijn	木角牛
柳	ijp	木卩丿
栀	ijp	木卩丿
枊	ijp	木卩丿
柿	ijt	木巾亠
欟	iju	木見艹
机	ijv	木几乙
杞	ijv	木己乙
枧	ijv	木见乙
梘	ijv	木見乙
楰	ijv	木臼人
栁	ijx	木卩夕
桸	ijx	木巾乂
橁	ikb	木竹勹
檱	ikb	木竹八
樦	ikd	木竹丶
櫤	ikd	木竹刂
榱	ikh	木衣一
櫛	ikj	木竹卩
柮	ikk	木凵凵
櫡	ikl	木竹耂
欜	iks	木衣十
槊	ilb	木月丷
栳	ilb	木耂匕
椦	ilb	木力丷
栊	ild	木龙丶
楕	ilg	木月工
樃	ilg	木月艮
櫳	ilh	木龍一
枂	ilh	木月一
柆	ilh	木立一
栯	ilh	木月一
梩	ilh	木里一
橯	ilh	木力火
榇	ili	木立木
棚	ill	木月月
栛	ill	木力力
橳	ill	木月力
橦	ill	木立里
棣	iln	木隶乀
架	ilo	木力口
枷	ilo	木力口
梙	ilo	木丨口
楜	ilo	木月口
朸	ilp	木力丿
柹	ilp	木丨丿
楮	ilr	木耂日
樟	ilr	木立日
榰	ilr	木耂日
樈	ilr	木立日
棛	ilt	木月亠
槞	ilt	木立田
樀	ilt	木立冂
栲	ilv	木耂乙
朻	ilv	木丨乙
樚	ilv	木鹿乙
棴	ily	木月又
楈	ilz	木月疋
罙	imb	木冖八
榏	imb	木皿丷
檻	imc	木皿臣
楎	imc	木冖車
欎	imc	木冖寸
榪	imd	木馬丶
栂	imd	木母丶
枕	ime	木冖儿
相	imh	木目一
杩	imh	木马一
椚	imh	木門一
欄	imi	木門木
